gene_reaction_rule_source	gene_reaction_rule_sink
locustag:STM1473	locustag:STM3091
locustag:STM2267	locustag:STM3091
locustag:STM2555	locustag:STM0182
locustag:STM2555	locustag:STM4105
locustag:STM2555	locustag:STM3001
locustag:STM3512	locustag:STM4485
locustag:STM3512	locustag:STM3542
locustag:STM4482	locustag:STM4485
locustag:STM4482	locustag:STM3542
locustag:STM3541	locustag:STM4485
locustag:STM3541	locustag:STM3542
locustag:STM3709	locustag:s0001
locustag:STM2962	locustag:STM2960
locustag:STM2962	locustag:STM2961
locustag:STM2962	locustag:STM2959
locustag:STM2962	locustag:STM2492
locustag:STM2962	locustag:STM3247
locustag:STM2962	locustag:STM0525
locustag:STM0320	locustag:STM0861
locustag:STM0320	locustag:STM0169
locustag:STM0999	locustag:STM0861
locustag:STM0999	locustag:STM0169
locustag:STM1473	locustag:STM0861
locustag:STM1473	locustag:STM0169
locustag:STM2267	locustag:STM0861
locustag:STM2267	locustag:STM0169
locustag:STM0320	locustag:STM1465
locustag:STM0999	locustag:STM1465
locustag:STM1473	locustag:STM1465
locustag:STM2267	locustag:STM1465
locustag:STM3692	locustag:STM1620
locustag:STM0999	locustag:STM0830
locustag:STM0999	locustag:STM0829
locustag:STM0999	locustag:STM0828
locustag:STM1473	locustag:STM0830
locustag:STM1473	locustag:STM0829
locustag:STM1473	locustag:STM0828
locustag:STM2267	locustag:STM0830
locustag:STM2267	locustag:STM0829
locustag:STM2267	locustag:STM0828
locustag:STM0320	locustag:STM0830
locustag:STM0320	locustag:STM0829
locustag:STM0320	locustag:STM0828
locustag:STM0320	locustag:STM3746
locustag:STM0999	locustag:STM3746
locustag:STM1473	locustag:STM3746
locustag:STM2267	locustag:STM3746
locustag:STM0320	locustag:STM3043
locustag:STM0999	locustag:STM3043
locustag:STM1473	locustag:STM3043
locustag:STM2267	locustag:STM3043
locustag:STM0320	locustag:STM0607
locustag:STM0999	locustag:STM0607
locustag:STM1473	locustag:STM0607
locustag:STM2267	locustag:STM0607
locustag:STM0320	locustag:STM3551
locustag:STM0999	locustag:STM3551
locustag:STM1473	locustag:STM3551
locustag:STM2267	locustag:STM3551
locustag:STM0320	locustag:STM0848
locustag:STM0320	locustag:STM0849
locustag:STM0320	locustag:STM0850
locustag:STM0320	locustag:STM0851
locustag:STM0999	locustag:STM0848
locustag:STM0999	locustag:STM0849
locustag:STM0999	locustag:STM0850
locustag:STM0999	locustag:STM0851
locustag:STM1473	locustag:STM0848
locustag:STM1473	locustag:STM0849
locustag:STM1473	locustag:STM0850
locustag:STM1473	locustag:STM0851
locustag:STM2267	locustag:STM0848
locustag:STM2267	locustag:STM0849
locustag:STM2267	locustag:STM0850
locustag:STM2267	locustag:STM0851
locustag:STM0413	locustag:STM3747
locustag:s0001	locustag:STM1786
locustag:s0001	locustag:STM1787
locustag:s0001	locustag:STM1788
locustag:s0001	locustag:STM3147
locustag:s0001	locustag:STM3150
locustag:s0001	locustag:STM2847
locustag:s0001	locustag:STM2848
locustag:s0001	locustag:STM2849
locustag:s0001	locustag:STM2850
locustag:s0001	locustag:STM2851
locustag:s0001	locustag:STM2852
locustag:s0001	locustag:STM1538
locustag:s0001	locustag:STM1539
locustag:STM4101	locustag:STM2489
locustag:STM0002	locustag:STM2489
locustag:STM0171	locustag:STM0232
locustag:STM0171	locustag:STM2366
locustag:STM0171	locustag:STM3379
locustag:STM0171	locustag:STM3380
locustag:STM0171	locustag:STM0533
locustag:STM0171	locustag:STM0066
locustag:STM0171	locustag:STM0067
locustag:STM2310	locustag:STM0597
locustag:STM2310	locustag:STM2309
locustag:STM0399	locustag:STM0046
locustag:STM0150	locustag:STM2522
locustag:STM3279	locustag:STM3390
locustag:STM3279	locustag:STM3391
locustag:STM3279	locustag:STM1727
locustag:STM3279	locustag:STM1726
locustag:STM0320	locustag:STM2354
locustag:STM0999	locustag:STM2354
locustag:STM1473	locustag:STM2354
locustag:STM2267	locustag:STM2354
locustag:STM2421	locustag:STM0491
locustag:STM3039	locustag:STM0423
locustag:STM3909	locustag:STM3904
locustag:STM0320	locustag:STM0706
locustag:STM0320	locustag:STM0705
locustag:STM0320	locustag:STM0704
locustag:STM0999	locustag:STM0706
locustag:STM0999	locustag:STM0705
locustag:STM0999	locustag:STM0704
locustag:STM1473	locustag:STM0706
locustag:STM1473	locustag:STM0705
locustag:STM1473	locustag:STM0704
locustag:STM2267	locustag:STM0706
locustag:STM2267	locustag:STM0705
locustag:STM2267	locustag:STM0704
locustag:STM0320	locustag:STM3880
locustag:STM0320	locustag:STM1695
locustag:STM0320	locustag:STM3409
locustag:STM0320	locustag:STM3986
locustag:STM0999	locustag:STM3880
locustag:STM0999	locustag:STM1695
locustag:STM0999	locustag:STM3409
locustag:STM0999	locustag:STM3986
locustag:STM1473	locustag:STM3880
locustag:STM1473	locustag:STM1695
locustag:STM1473	locustag:STM3409
locustag:STM1473	locustag:STM3986
locustag:STM2267	locustag:STM3880
locustag:STM2267	locustag:STM1695
locustag:STM2267	locustag:STM3409
locustag:STM2267	locustag:STM3986
